"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","PRODOTTI1","Attività non finanziarie","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N115","risorse biologiche coltivate","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",139.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",13788.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",13751.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",13738.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",13668.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",13755,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N117","prodotti di proprietà intellettuale","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",13684.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",79519.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",84115,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",79154,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",83886.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",78536.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11","totale capitale fisso per tipo di attività","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",83232.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",35043.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",37208,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",34767,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",37034.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",34143.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11K","totale costruzioni ","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",36370.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",18698.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",19823.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",18492.7,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",19646.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",18299.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N111","abitazioni","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",19440.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",16345.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",17384.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",16274.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",17388.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",15844.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N112","fabbricati non residenziali e altre opere","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",16929.3,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",30449.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",33048.5,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",30480.1,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",33013.2,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",30507.6,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N11M","impianti e macchinari e armamenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",33043,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",6973.8,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",8436.9,,
"IT","Italia","P51G_D_W0_S1","investimenti fissi lordi","N1131","mezzi di trasporto","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",6900.7,,
