"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",26072.6,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y_GE15","15 anni e più","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",26047.942,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",4329.043,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",4325.379,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",4360.024,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y15-24","15-24 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",4339.269,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",1745.196,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",1745.544,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M3G12","12-Mar-2020","2019-Q4","T4-2019",1716.504,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y25-34","25-34 anni","2020M3G12","12-Mar-2020","2019-Q3","T3-2019",1736.747,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M3G12","12-Mar-2020","2019-Q1","T1-2019",4628.062,,
"IT","Italia","INAC","inattivi (migliaia)","9","totale","Y50-64","50-64 anni","2020M3G12","12-Mar-2020","2019-Q2","T2-2019",4620.22,,
