"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","CORREZ","Correzione","ETA1","Classe di età","POSIZPROF","Posizione professionale","CARATT_OCC","Carattere occupazione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-02","Feb-2020",2852.185,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-03","Mar-2020",2608.108,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-04","Apr-2020",2360.604,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-01","Gen-2020",2971.924,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-02","Feb-2020",2937.241,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-03","Mar-2020",2794.177,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","1","tempo determinato","2020M6G3","03-Giu-2020","2020-04","Apr-2020",2665.141,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-01","Gen-2020",15047.005,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-02","Feb-2020",14964.593,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-03","Mar-2020",15173.093,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-04","Apr-2020",15220.516,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-01","Gen-2020",15039.938,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-02","Feb-2020",15101.625,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-03","Mar-2020",15148.105,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","Y","dati destagionalizzati","Y_GE15","15 anni e più","1","dipendenti","2","tempo indeterminato","2020M6G3","03-Giu-2020","2020-04","Apr-2020",15072.345,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M6G3","03-Giu-2020","2020-01","Gen-2020",17887.177,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M6G3","03-Giu-2020","2020-02","Feb-2020",17816.778,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M6G3","03-Giu-2020","2020-03","Mar-2020",17781.201,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","1","dipendenti","9","totale","2020M6G3","03-Giu-2020","2020-04","Apr-2020",17581.12,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M6G3","03-Giu-2020","2020-01","Gen-2020",5222.272,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M6G3","03-Giu-2020","2020-02","Feb-2020",5322.075,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M6G3","03-Giu-2020","2020-03","Mar-2020",5169.834,,
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","2","indipendenti","9","totale","2020M6G3","03-Giu-2020","2020-04","Apr-2020",5073.098,"p","dato provvisorio"
"IT","Italia","EMP","occupati 15 anni e oltre (migliaia)","N","dati grezzi","Y_GE15","15 anni e più","9","totale","9","totale","2020M6G3","03-Giu-2020","2020-01","Gen-2020",23109.449,,
