"ITTER107","Territorio","TIPO_DATO_SEQNZCONTI1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G1","variazione congiunturale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q1","T1-2020",-5.381,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q1","T1-2019",0.27,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q2","T2-2019",0.38,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q4","T4-2019",0.08,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q3","T3-2019",0.465,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q2","T2-2020",-17.259,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","G4","variazione tendenziale","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2020-Q1","T1-2020",-5.492,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q1","T1-2019",430585.5,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q2","T2-2019",431039.2,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q4","T4-2019",430076.7,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2020M7_1","Lug-2020 (stima preliminare)","2019-Q3","T3-2019",431061.7,,
